R_score,I_score,A_score,S_score,E_score,C_score,Career,Required_Skills,Salary_Range,Learning_Path
2.6,3.59,2.3,2.4,2.56,7.92,Accounting & Finance,"Financial Reporting, Excel, Budgeting, Tax Analysis, Auditing",₹3-30 LPA,"1-2 Months: Accounting Basics & Excel | 3-4 Months: Financial Statements & Budgeting | 5-6 Months: Tax, Auditing & Financial Analysis | 6+ Months: Real Firm Projects & CA/CFA Prep"
2.47,6.93,2.69,6.92,2.49,2.47,Bioinformatics,"Python/R, Genomic Analysis, Data Mining, Molecular Biology, Statistics",₹3-28 LPA,1-2 Months: Biology Basics & Python/R | 3-4 Months: Genomic Data Analysis & Databases | 5-6 Months: Machine Learning in Biology & Research | 6+ Months: Publish Research & Build Bio-datasets
1.73,1.63,4.21,2.44,2.27,8.14,Data Analytics,"SQL, Excel, Data Visualization, Power BI/Tableau, Critical Thinking",₹3-28 LPA,"1-2 Months: Excel, SQL & Data Basics | 3-4 Months: Power BI/Tableau & Dashboard Building | 5-6 Months: Advanced SQL & Statistical Analysis | 6+ Months: End-to-end Analytics Projects"
2.3,8.05,2.48,2.45,2.44,6.38,Data Science,"Python, Machine Learning, Data Visualization, Statistical Analysis, SQL",₹4-35 LPA,1-2 Months: Python & Statistics Basics | 3-4 Months: Data Wrangling & Visualization | 5-6 Months: Machine Learning & Model Building | 6+ Months: Real-world Projects & Kaggle Competitions
2.39,2.49,6.26,8.02,2.57,2.47,Digital Marketing,"SEO/SEM, Social Media, Content Creation, Analytics, Brand Strategy",₹2-25 LPA,"1-2 Months: SEO, Social Media & Content Basics | 3-4 Months: Google Ads, Email & Analytics | 5-6 Months: Growth Hacking & Brand Strategy | 6+ Months: Run Live Campaigns & Build Portfolio"
2.11,2.67,4.0,7.67,3.33,4.0,Education Technology,"Curriculum Design, E-Learning Tools, Communication, LMS, Instructional Design",₹2-20 LPA,1-2 Months: Instructional Design & LMS Basics | 3-4 Months: E-learning Tools & Curriculum Building | 5-6 Months: Gamification & EdTech Platforms | 6+ Months: Launch an Online Course & Portfolio
4.0,2.8,5.0,1.6,8.6,2.4,Entrepreneurship,"Business Planning, Leadership, Marketing, Financial Management, Networking",₹Variable,"1-2 Months: Ideation, Business Model & Market Study | 3-4 Months: MVP Building & Customer Validation | 5-6 Months: Fundraising, Branding & Sales | 6+ Months: Launch Startup & Scale Operations"
5.7,2.5,2.6,2.47,8.28,2.56,Product Management,"Roadmap Planning, Agile/Scrum, User Research, Data Analysis, Leadership",₹6-60 LPA,"1-2 Months: Product Thinking & Market Research | 3-4 Months: Agile, Roadmapping & User Stories | 5-6 Months: Data-driven Decisions & A/B Testing | 6+ Months: Launch a Product & Build Case Studies"
4.93,2.53,4.4,7.4,2.53,2.2,Robotics & Automation,"Programming, Electronics, Control Systems, CAD Design, Problem Solving",₹4-35 LPA,"1-2 Months: Electronics, Programming & CAD Basics | 3-4 Months: Sensors, Control Systems & Arduino | 5-6 Months: ROS, AI Integration & Automation | 6+ Months: Build & Showcase Robotics Projects"
4.79,7.68,2.36,3.54,2.32,4.0,Software Engineering,"Python/Java, Data Structures, Algorithms, System Design, Version Control (Git)",₹3-50 LPA,1-2 Months: Programming Fundamentals & Data Structures | 3-4 Months: Algorithms & System Design Basics | 5-6 Months: Backend/Frontend Development & APIs | 6+ Months: Build & Deploy Full Stack Projects
7.4,2.34,2.47,2.5,6.93,3.09,Web Development,"HTML/CSS, JavaScript, React, REST APIs, Version Control (Git)",₹3-30 LPA,"1-2 Months: HTML, CSS & JavaScript Basics | 3-4 Months: React & REST API Integration | 5-6 Months: Backend, Databases & Authentication | 6+ Months: Deploy Full Stack Apps & Open Source"
